,Lyrics
1088,"She got it, she looking good
I'm just watching her move
She walks on in with her red dress on
Her lips as bright as the sun
Her curves goes every which way
Got skin like porcelain
The way her hair falls down her back
Billy accents her tattoo?
The way her hair falls down her back
Billy accents her tattoo?
Her legs like a supermodel
She worn for them high heel shoes
She got every single guy in the club
Just watching her move
And she don't wanna dance with anyone
Let her do what she do
She got every single guy in the club
Just watching her move
And she don't wanna dance with anyone
Let her do what she do
Just watch her get it


Just watch her move
She pulls me to the side
Tells me she wants to go
I say, girl, I'm yours tonight
After this I'm taking you home
First and for most I dance with you
Get you in the mood
Maybe later, baby
Girl, I'll show you exactly how I do
She got every single guy in the club
Just watching her move
And she don't wanna dance with anyone
Let her do what she do
She got every single guy in the club
Just watching her move
And she don't wanna dance with anyone
Let her do what she do
Just watch her get it


Just watch her get it


God, baby, you look good
You sexy, watch her move
Watch her move
She got every single guy in the club
Just watching her move
And she don't wanna dance with anyone
Let her do what she do
She got every single guy in the club
Just watching her move
And she don't wanna dance with anyone
Let her do what she do
Just watch her get it


Just watch her get it


Look at her get it
Just watch her
Watch her move, ooh"
1089,"Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her tryin'
She's so beautiful
And I tell her every day
Yeah, I know, I know when I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl, you're amazing just the way you are
Yeah, her lips, her lips, I could kiss them all day if she'd let me
Her laugh her laugh, she hates, but I think it's so sexy
She's so beautiful
And I tell her every day
Oh, you know, you know, you know I'd never ask you to change
If perfect's what you're searching for, then just stay the same
So don't even bother asking if you look okay
You know I'll say
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl, you're amazing just the way you are
The way you are
The way you are
Girl, you're amazing just the way you are
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl, you're amazing just the way you are, yeah"
1090,"

All you 'get back, coming to the stage'
Is a girl who's new in town
She go by the name 'Where Your Stacks At?'
This pretty little thing, I swear, won't let you down
Watch her drop it like, 
 hey!
Pre Chorus 

Then she picked it up and pop it, everybody want's it
Facial, legendary. Body is iconic
No way that you can stop it, she's way too versatile
The music makes her dance, but the money makes her smile


Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile


Money, money, money make her smile


Money, money, money make her smile


She's a super freak
You wouldn't know it if you saw her outside these velvet walls
No, she don't go where preachers preach
She only go to the church where dollars fall
Watch her drop it like, 
 hey!
Pre Chorus 

Then she picked it up and pop it, everybody want's it
Facial, legendary. Body is iconic
No way that you can stop it, she's way too versatile
The music makes her dance, but the money makes her smile


Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile


Money, money, money make her smile


Money, money, money make her smile


Yeah, yeah, yeah, yeah
Watch her....
Give her what you got, give her, give her what you got...


As soon as I walked up in, I need some oxygen
First thing I noticed is shorty's been doing squats again
So bring them boxes in, let them know wer're some bosses
We're tossing them dollars often, no tithing, it's just the offering
She don't be hot for them, don't even want to talk to them
They pull up in the parking lot, she spots them by their moccasins
She's on the clock again, her work ethic is wild
The music gets her to dance, but the money makes her smile


Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile


Money, money, money make her smile


Money, money, money make her smile"
1091,"Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her tryin'
She's so beautiful
And I tell her every day
Yeah, I know, I know when I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl, you're amazing just the way you are
Yeah, her lips, her lips, I could kiss them all day if she'd let me
Her laugh her laugh, she hates, but I think it's so sexy
She's so beautiful
And I tell her every day
Oh, you know, you know, you know I'd never ask you to change
If perfect's what you're searching for, then just stay the same
So don't even bother asking if you look okay
You know I'll say
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl, you're amazing just the way you are
The way you are
The way you are
Girl, you're amazing just the way you are
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl, you're amazing just the way you are, yeah"
1092,"“Count On Me”
If you ever find yourself stuck in the middle of the sea
I’ll sail the world to find you
If you ever find yourself lost in the dark and you can’t see
I’ll be the light to guide you
We find out what we’re made of
When we are called to help our friends in need
You can count on me
Like 1, 2, 3
I’ll be there
And I know when I need it
I can count on you
Like 4, 3, 2
You’ll be there
’Cause that’s what friends are supposed to do
If you’re tossin’ and you’re turnin’
And you just can’t fall asleep
I’ll sing a song bеside you
And if you ever forgеt how much you really mean to me
Every day I will remind you
We find out what we’re made of
When we are called to help our friends in need
You can count on me
Like 1, 2, 3
I’ll be there
And I know when I need it
I can count on you
For full lyrics go to- https://www.sunflowerlyrics.com/2020/08/count-on-me-song-lyrics-by-bruno-mars.html"
1093,"Bruno:
My baby so beautiful id take her to the stars she’s my baby she’s my baby
Uzi:
Me and Bruno bout to go to Mars im finna take my baby Past the stars"
1094,"If i told i was perfect i'd be lying
If there's something i'm not doing, girl i'm trying
I know I’m no angel, but I’m not so bad If you see me at the party conversating
That doesn’t mean telephone numbers are exchanging
I know I’m no angel, but I’m not so bad
You should know, these
Beautiful girls all over the world, I could be chasing
But my time would be wasted, they got nothing on you, baby
Nothing on you, baby
They might say hi, and I might say hey
But you shouldn't worry, about what they say
Cause they got nothing on you, baby 

Nothing on you, baby
I know you feel where I'm coming from
Regardless of the things in my past that I've done
Most of it really was for the hell of the fun
On a carousel, so around I spun
With no direction, just tryna get some
Tryna chase skirts, living in the summer sun
And so I lost more than I had ever won
And honestly, I ended up with none
It's so much nonsense, it's on my conscience
I'm thinking ""maybe I should get it out""
And I don't wanna sound redundant
But I was wondering, if there was something that you wanna know
But never mind that, we should let it go
Cause we don't wanna be a t.v. episode
And all the bad thoughts, just let em go, go, go
These
Beautiful girls all over the world, I could be chasing
But my time would be wasted, they got nothing on you, baby
Nothing on you, baby
They might say hi, and I might say hey
But you shouldn't worry, about what they say
Cause they got nothing on you, baby 

Nothing on you, baby
I've been to London, I've been to Paris
Even way out there in Tokyo
Back home down in Georgia, to New Orleans
But you always steal the show
And just like that girl, you got me froze
Like a Nintendo 64
If you never knew, well, now you know, know, know
Beautiful girls all over the world, I could be chasing
But my time would be wasted, they got nothing on you, baby
Nothing on you, baby
They might say hi, and I might say hey
But you shouldn't worry, about what they say
Cause they got nothing on you, baby 

Nothing on you, baby 
"
1095,"Oooohhhhhhh
Oooooohhhhhh


I used to go out of my mind
Tryna' redefine the real meaning of love
I lost my dignity, forgot about me
I was so lost in us
I had to take hold, cause you had me
Stuck in the middle of nowhere


And my faith, it would shake
I know you're trying your best
To take me


Dream taker, won't you leave me alone?
Been standing in the way
For far too long
Dream maker now
Is taking your place
I'm no longer asleep
My heart is finally awake
So goodbye, good day
Farewell, it's okay
Dream taker, won't you leave me alone?
Can't wait till you're gone
Haven't dreamt in so long




You used to be
The man of my dreams
Only now it seems
You were just a nightmare
But this little light of mine
Told me ""Open my eyes
There's more than darkness out there""


I'm not gon' run from ya
Imma walk from ya
I'm not afraid of ya
I've escaped from ya
And my faith is in place
In the night, I no longer see your face


Dream taker, won't you leave me alone?
Been standing in the way
For far too long
Dream maker now
Is taking your place
I'm no longer asleep
My heart is finally awake
So goodbye, good day
Farewell, it's okay
Dream taker, won't you leave me alone?
Can't wait till you're gone
Haven't dreamt in so long


Oooooooohhh
From ashes to ashes
And dust to us
Oooooohhhhhh
I'm not gon' run from ya
Imma walk from ya
I'm not afraid of ya
I've escaped from ya
I'm not gon' run from ya
Imma walk from ya
I'm not afraid of ya
I've escaped from ya


Dream taker, won't you leave me alone?
Been standing in the way
For far too long
Dream maker now
Is taking your place
I'm no longer asleep
My heart is finally awake
So goodbye, good day
Farewell, it's okay
Dream taker, won't you leave me alone?
Can't wait till you're gone
Haven't dreamt in so long


Can't wait till you're gone
Haven't dreamt in so long
Can't wait till you're gone
Haven't dreamt in so long"
1096,"Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today I swear I'm not doing anything
Uh I'm gonna kick my feet up and stare at the fan
Turn the t.v. on
Throw my hand in my pants
Nobody's gon' tell me I cant, no
I'll be loungin' on the couch just chillin' in my snuggie
Flip to MTV so they can teach me how to Dougie
'Cause in my castle I'm the freakin' man
Oh
Yes I said it
I said it
I said it 'cause I can
Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today I swear I'm not doing anything
Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh
Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh
Tomorrow I'll wake up do some p90x
Meet a really nice girl have some really nice sex
And she's gonna scream out this is great
I might mess around and get my college degree
I bet my old man will be so proud of me
But sorry pops you'll just have to wait
Oh
Yes I said it
I said it
I said it 'cause I can
Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today I swear I'm not doing anything
No I ain't gonna comb my hair
'Cause I ain't goin' anywhere
No no no no no no no no no oh
I'll just strut in my birthday suit
And let everything hang loose
Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah
Oh, today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today I swear I'm not doing anything
Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh
Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh
Nothing at all"
1097,"*Verse 1*
Same bed but just
A little bit bigger now
Our song on the radio but it
Dont sound the same
When our friends talk
About you all it does is just
Make a sound
*Chorus*
My heart feels the same
When i hear your name
It all just sounds like
Ooh oh ooh oh ooooh
Mmmm too young too dumb
Too realize that you should have
Bought me flowers and held
My hand should have gave me all
Your hours when you had the chance
Take me too every party because all
I wanted to was dance now im really
Dancing but im dancing with
Another man
*Verse 2*
Your pride your ego and
Your selfish ways caused a good
Strong woman like me too walk out
Your life now you never never
Get to clean up the mess you've made
Ooh
*Chorus*
And it haunts you every time
You close your eyes it all just
Sounds likeooh oh ooh oh ooooh
Mmmm too young too dumb
Too realize that you should have
Bought me flowers and held
My hand should have gave me all
Your hours when you had the chance
Take me too every party because all
I wanted to was dance now im really
Dancing but im dancing with
Another man
*Verse 3*
Although it hurts you'll
Be the first to say that
You were wrong oh know
Your probably much too late
Too try and apologize for your
Mistakes but i just want you
Too know i hope you buy her
Flowers i hope you hold her hand
Give her all your hours when you
Have the chance take her to every
Party cause all she wants to do
Is dance do all the things you should
Have done when i was your girl
Do all the things you should
Have done when i was your girl"
1098,"Bruno Mars
Truth of the matter is I'm complicated
You're as straight as they come
You go about your day, baby
While I hide from the sun
It's better if you don't understand
'Cause you won't know what it's like until you try
You know I
I'll be waiting on the other side
And you
All you got to do is cross the line
I could wait a whole lifetime
But you just got to decide
You know I will be waiting on the other, waiting on the other side
Cee-Lo
We would live forever
Who could ask for more?
You could die if you wanted
But baby what for?
It's better if you don't understand
And you won't know what it's like until you try
You know I
I'll be waiting on the other side
And you
All you got to do is cross the line
I could wait a whole lifetime
But you just got to decide
You know I I'll be waiting on the other, waiting on the other side
B.o.B
If they say life's a dream, call this insomnia
'Cause this ain't Wonderland it damn sure ain't Narnia
And once you cross the line You can't change your mind
Yeah I'm a monster but I'm no Frankenstein
And quite frankly I've been feelin' insane In between my eyes
I really can't explain what I feel inside
If you knew what I was you'd run and hide Many have tried to go into the night
And cross over the line and come back alive
But that's the price we payin' when we livin' on the other side
Bruno Mars
You know I
I'll be waiting on the other side
And you
All you got to do is cross the line
I could wait a whole lifetime
But you just got to decide
You know I I'll be waiting on the other, waiting on the other side
Bruno Mars & Cee-Lo Green
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand"
1099,"And I don't mind when we fall out
As long as we fall back into it
I hope we never put an end to it
Even though you not that into it
Heaven, have you ever been to it?
Cause you look like you never been
You're more of a Hell's Angel
And for you, I'd rather sin
Broken heart, love you with a broken heart
For you I'd jump off Noah's arc
Love is blind and hope is dark
Why does pain feel so good?
Love is science live for you
Die for you, and I'll die smiling


Easy come, easy go, that's just how you live
Oh, take, take, take it all but you never give
Should've known you was trouble from the first kiss
Had your eyes wide open, why were they open?
Gave you all I had and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever asked
Cause what you don't understand is


I'd catch a grenade for you, throw my hand on a blade for you
I'd jump in front of a train for you, you know I'd do anything for ya
I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby, but you won't do the same
No, no, no, no


Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said, hey, when you get back to where you're from
Mad woman, bad woman, that's just what you are, yeah
You'll smile in my face then rip the brakes out my car
Gave you all I had and you tossed it in the trash
You tossed it in the trash, yes, you did
To give me all your love is all I ever asked
Cause what you don't understand is




If my body was on fire
Ooh, you'd watch me burn down in flames
You said you loved me, you're a liar
Cause you never, ever, ever did, baby
But darling

"
1100,"Hey, hey-hey
Hey, what's happenin'?
Hey, brother, what's happenin'?
Boy, this is a groovy party 

Man, I can dig it
Yeah, brother, solid, right on
What's happenin'?
Hey, man, what's happening?
Woo
Everything is everything
We're gonna do a get down today, boy, I'll tell ya


Mother, mother
There's too many of you crying
Brother, brother, brother
There's far too many of you dying
You know we've got to find a way
To bring some loving here today, yeah


Father, father
We don't need to escalate
You see, war is not the answer
For only love can conquer hate
You know we've got to find a way
To bring some loving here today, oh 



Picket lines 
 and picket signs 

Don't punish me 
 with brutality 

Talk to me 
, so you can see 

Oh, what's going on 

What's going on 

Yeah, what's going on 

Oh, what's going on


Ah-ah-ah-ah 


Woo 
, woo
Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya
Woo 

, woo
Ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya
Ba-da-boo-doo, boo-boo-boo-doo, boo-boo-boo
Ba-da-boo-boo-boo-doo, boo-boo-boo-ba-ba-do


Mother, mother
Everybody thinks we're wrong
Oh, but who are they to judge us
Simply 'cause our hair is long?
Oh, you know we've got to find a way
To bring some understanding here today, oh-oh


Picket lines 
 and picket signs 

Don't punish me 
 with brutality 

Come on, talk to me 
, so you can see 

Oh, what's going on 

Yeah, what's going on 

Tell me what's going on 

I'll tell you what's going on
 



Woo-ooh-ooh-ooh 


Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya-ya
Woo, woo 

Ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya
Ba-da-boo-doo, boo-boo-boo-doo
Ba-da-boo-boo-boo-doo, ba-da-da-da-da-da-da


Woo 

Ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya
Woo 

Listen, ah-ya-ya-ya-ya-ya-ya-ya
Da-boo-doo, boo-boo-boo-doo
Da-boo-boo-doo, boo-boo-boo"
1101,"Get up, get up, get up, get up
Wake up, wake up, wake up, wake up
Ooh baby, now let's get down tonight


Baby I'm hot just like an oven
I need some lovin'
And baby, I can't hold it much longer
It's getting stronger and stronger


And when I get that feeling
I want sexual healing
Sexual healing, oh baby
Makes me feel so fine
Helps to relieve my mind
Sexual healing baby, is good for me
Sexual healing is something that's good for me


Whenever blue tear drops are falling
And my emotional stability is leaving me
There is something I can do
I can get on the telephone and call you up baby, and
Honey I know you'll be there to relieve me
The love you give to me will free me
If you don't know the thing you're dealing
Oh I can tell you, darling, that it's sexual healing


Let's make love tonight


'Cause you do it right


Baby I got sick this morning
A sea was storming inside of me
Baby I think I'm capsizing
The waves are rising and rising


And when I get that feeling
I want sexual healing
Sexual healing is good for me
Makes me feel so fine, it's such a rush
Helps to relieve the mind, and it's good for us
Sexual healing, baby, it's good for me
Sexual healing is something that's good for me
And it's good for me and it's so good to me
My baby
Ohhh


Come take control, just grab a hold
Of my body and mind soon we'll be making it
Honey, oh we're feeling fine
You're my medicine open up and let me in
Darling, you're so great
I can't wait for you to operate


Let's make love tonight


'Cause you do it right


I can't wait for you to operate


When I get this feeling
I need sexual healing
Oh when I get this feeling
I need sexual healing
I gotta have sexual healing, darling
'Cause I'm all alone
Sexual healing, darling
'Till you come back home
Please don't procrastinate
It's not good to masturbate"
1102,"Listen, baby
Ain't no mountain high
Ain't no valley low
Ain't no river wide enough, baby


If you need me, call me
No matter where you are
No matter how far 

Just call my name
I'll be there in a hurry
You don't have to worry
Cause baby there


Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, babe


Remember the day
I set you free
I told you you could always count on me, darling
From that day on, I made a vow
I'll be there when you want me
Someway, somehow
Oh baby there


Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, babe


Oh no, darling


No wind, no rain
Nor winter storm
Can't stop me, baby


No, no baby


Cause you are my goal


If you're ever in trouble
I'll be there on the double
Just send for me


Oh, baby!


My love is alive
Way down in my heart
Although we are miles apart


If you ever need a helping hand
I'll be there on the double
Just as fast as I can


Don't you know that there...
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
To keep me from getting to you, baby
Ain't no mountain high enough
Ain't no valley low enough
Ain't no river wide enough
Ain't no mountain high enough
Ain't no valley low enough"
1103,"I’ve been really trying, baby
Trying to hold back this feeling for so long
And if you feel like I feel baby
Come on, oh come on, ooh


Let’s get it on, ow baby
Let’s get it on, let’s love baby
Let’s get it on, sugar
Let’s get it on, woo


We’re all sensitive people with so much to give
Understand me, sugar
Since we got to be, let’s live, I love you
There’s nothing wrong with me loving you, baby no no
And giving yourself to me can never be wrong
If the love is true, oh baby ooh


Don’t you know how sweet and wonderful life can be, ooh ooh
I’m asking you baby to get it on with me, ooh ooh ooh
I ain't gonna worry, I ain't gonna push, I won't push you baby
So come on, come on, come on, come on, come on, baby
Stop beating round the bush, hey


Let's get it on, let's get it on
You know what I'm talkin' 'bout
Come on baby, let your love come out
If you believe in love
Let's get it on, let's get it on baby
This minute, oh yeah let's get it on
Please, let's get it on hey hey


I know you know what I been dreamin' of, don't you baby?
My whole body makes that feelin' of love, I'm happy
I ain't gonna worry, no I ain't gonna push
I won't push you baby, woo
Come on, come on, come on, come on darling
Stop beatin' round the bush, hey


Oh, gonna get it on, threatenin' you, baby
I wanna get it on
You don't have to worry that it's wrong
If the spirit moves you
Let me groove you good
Let your love come down
Oh, get it on, come on baby
Do you know the meaning?
I've been sanctified, hey hey
Girl, you give me good feeling
So good somethin' like sanctified
Oh dear I, baby
Nothing wrong with love
If you want to love me just let your self go
Oh baby, let's get it on"
1104,"Dah-dah-la-la, da-da-dada-da-da
Dah-dah-la-la, da-da-dada-da-da
Dah-dah-la


Rockets, moon shots
Spend it on the have-not's
Money, we make it
Before we see it, you take it


Oh, make me wanna holler
The way they do my life 

Make me wanna holler
The way they do my life
This ain't living, this ain't living
No, no baby, this ain't living
No, no, no


Inflation, no chance
To increase finance
Bills pile up sky high
Send that boy off to die


Oh, make me wanna holler
The way they do my life 

Make me wanna holler
The way they do my life


Oh, baby




Hang ups, let downs
Bad breaks, set backs
Natural fact is 

I can't pay my taxes


Oh, make me wanna holler
And throw up both my hands
Yeah, it make me wanna holler
And throw up both my hands 



Crime is 
 increasing
Trigger happy policing
Panic is spreading
God knows where we're heading


Oh, baby




Mother, mother 

Everybody thinks we're wrong 

Who are they to judge us 

Simply because we wear our hair long 

Uuuh!
Ah-ya-ya-ya-ya-ya-ya-ya-ya
Ohh!"
1105,"I bet you're wondering how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys
You know I love you more
It took me by surprise, I must say
When I found out yesterday
Don't you know that


I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
Oh, and I'm just about to lose my mind
Honey, honey, yeah 



I know a man ain't supposed to cry
But these tears I can't hold inside
Losing you would end my life you see
Because you mean that much to me
You could have told me yourself
That you love someone else
Instead


I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
And I'm just about to lose my mind
Honey, honey yeah 



People say ""believe half of what you see
Son and none of what you hear""
But I can't help being confused
If it's true please tell me dear:
Do you plan to let me go
For the other guy you loved before?
Don't you know


I heard it through the grapevine
Not much longer would you be mine, baby
I heard it through the grapevine
I'm just about to lose my mind
Honey, honey, yeah 



Honey, Honey, I know 

That you're letting me go 

Said I heard it through the grapevine 

Oh, heard it thought the grapevine 
"
1106,"I used to go out to parties
And stand around
Cause I was too nervous
To really get down
But my body yearned to be free
I got up on the floor and thought
Somebody could choose me
No more standin' there beside the walls
I done got myself together baby
And now I'm havin' a ball
As long as you're groovin'
There's always a chance
Somebody watches
Might wanna make romance
Move your body, ooo baby, you dance all night
To the groove and feel alright
Everybody's groovin' on like a fool
But if you see me spread out and let me in
Baby just party high and low
Let me step into your erotic zone
Move it up
Turn it 'round
Shake it down
OOWWWW
You can love me when you want to babe
This is such a groovy party baby
We're here face to face
Everybody's swingin'
This is such a groovy place
All the young ladies are so fine!
You're movin your body easy with no doubts
I know what you thinkin' baby
You wanna turn me out
Think I'm gonna let you do it babe
Keep on dancin'
You got to get it
Got to give it up
Keep on dancin' Got to give it up
Keep on dancin' 

Got to give it up
Keep on dancin' 

Got to give it up
Keep on dancin' 

Got to give it up
Keep on dancin' 

Got to give it up
Ooooh, ooooh, ooooh, ooooh
If you want to dance, dance
So good
Dancing


So good
You got me babe
It's so good




Spend the night

"
1107,"I want you—the right way
I want you
But I want you to want me too
Want you to want me, baby
Just like I want you


I give you all the love I want in return sweet darling
But half a love is all I feel
It's too bad, it's just too sad, you don't want me now
But I'm going to change your mind, someway, somehow, oh baby


I want you—the right way
I want you
But I want you to want me too
I want you to want me, baby
Just like I want you


This one way love is just a fantasy, oh sugar
To share is precious, pure and fair
Don't play with something you should cherish for life, oh baby
Don't you want to care? Ain't it lonely out there?


I want you—the right way
I want you
But I want you to want me too
I want you to want me, baby
When I get down with you, yes, darlin oh ooh


Get down baby
Have mercy
Listen precious I wanted you
A long time
I wanted you
More than you can imagine
Oh baby, so fine
I want you - the right way baby
I want you baby
But I want you to want me too baby
Gotta, gotta, gotta love me sugar
Oh, the way that I love you
Woooo, I want you"
1108,"Mercy, mercy me
Things ain't what they used to be, no no
Where did all the blue skies go?
Poison is the wind that blows from the north and south and east


Mercy, mercy me
Things ain't what they used to be, no no
Oil wasted on the ocean and upon our seas
Fish full of mercury


Mercy, mercy me
Things ain't what they used to be, no no
Radiation under ground and in the sky
Animals and birds who live nearby are dying


Mercy, mercy me
Things ain't what they used to be
What about this overcrowded land
How much more abuse from man can she stand?"
1109,"Like sweet morning dew
I took one look at you
And it was plain to see
You were my destiny


With my arms open wide
I threw away my pride
I'll sacrifice for you
Dedicate my life to you
I will go where you lead
Always there in time of need


And when I lose my will
You'll be there to push me up the hill


There's no, no looking back for us
We got love sure 'nough, that's enough
You're all, You're all I need to get by


Like an eagle protects his nest, for you I'll do my best
Stand by you like a tree, dare anybody to try and move me


Darling in you I found
Strength where I was torn down
Don't know what's in store but together we can open any door
Just to do what's good for you and inspire you a little higher


I know you can make a man out of a soul that didn't have a goal


Cause we, we got the right foundation and with love and determination
You're all, you're all I want to strive for and do a little more
You're all the joys under the sun wrapped up into one
You're all I need, you're all I need, you're all I need to get by"
1110,"Hey baby, what you know good
I'm just getting back, but you knew I would
War is hell, when will it end?
When will people start getting together again?
Are things really getting better, like the newspaper said
What else is new my friend, besides what I read


Can't find no work, can't find no job, my friend
Money is tighter than, it's ever been
Say man, I just don't understand
What's going on across this land
Ah, what's happening brother?
Yeah, what's happening? What's happening my man?


Are they still getting down
Where we used to go and dance
Will our ball club win the pennant
Do you think, they have a chance?
And tell me friend, how in the world have you been?
Tell me, what's out and I want to know what's in


What's the deal man
What's happening? Tell me brother
What's happening brother?
Ah, what's happening brother?
What's happening my man?
Whoo, ah, ah, what's happening brother?
Say man, whoo, what's happening brother?


What's been shaking up and down the line?
I want to know because, I'm slightly behind the times"
1111,"I come up hard, baby, but now I'm cool
I
 
didn't
 
make it sugar, playing by the rules
I come up hard, baby, but now I'm fine
I'm checking trouble, sure moving down the line
I come up hard, baby, but that's OK
Because Trouble Man don't get in my way


I come up hard, baby
I've been for real, baby
Going to keep moving, going to roll to town
I come up hard, come on, get down
There's only three things that's for sure:
Taxes, death and trouble


This I know, baby, this I know, child
Yeah, let the sweat through you, baby
Got me singing, yeah, yeah, ooh


I come up hard, baby, I had to fight
Took care of my business with all my might
I come up hard, I had to win
Then start all over and win again
I come up hard, but that's OK
Because Trouble Man don't get in my way


I know some places and I've seen some faces
I got good connections aimed in my direction
When people say; that's OK, they don't bother me
I'm ready to make it, don't care about the weather
Don't care about no trouble, got myself together
I feel the kind of protection that's all around me


I come up hard, baby
I've been for real, baby
With the Trouble Man
Moving, going to town
I come up hard, come on, get down
There's only three things for sure:
Taxes, death and trouble
This I know, baby
This I know, baby
Hey ain't gon' let it sweat me, baby


I come up hard, but now I'm cool
I didn't make it, baby, playing by the rules
I come up hard, baby, but now I'm fine
I'm checking trouble, sugar, hey, moving down the line"
1112,"Flying high in the friendly sky
Flying high without ever leaving the ground, no
Rest of the folks are tired and weary
Oh Lord, and have laid their bodies down
I go to the place where danger awaits me
And it's bound to forsake me
So stupid minded
I can't help it, so stupid minded
But I go crazy when I can't find it
In the morning, I'll be alright, my friend
But soon the night will bring the pains
The pain, awful pain


Flying high in the friendly sky
Without ever leaving the ground
And I ain't seen nothing but trouble baby
Nobody really understands, no, no
And I go to the place where the good feeling awaits me
Self destruction's in my hand
Oh Lord, so stupid minded
Oh and, I go crazy when I can't find it
Well I know I'm hooked my friends
To the boy who makes slaves out of men
And oh, believe me


Flying high in a friendly sky
Flying high in a friendly sky"
1113,"Distant lover, lover 

Ooh, so many miles away
Heaven knows that I long for you
Every night, every night
And sometimes I yearn through the day


Distant lover 

You should think about me
Say a prayer for me
Please, please baby
Think about me sometimes
Think about me here
Here in misery
Misery


As I reminisce, ah baby
Through our joyful summer together
The promises we made
All the daily letters
Then all of a sudden
Everything seemed to explode
Now I gaze out my window
Sugar, down a lonesome road


Distant lover, ooh sugar
How can you treat my heart so mean and cruel
Didn't you know, sugar
That every moment that I spent with you
I treasured it
Like it was precious a jewel, oh baby
Lord, have mercy


Oh baby, don't go
Please, come back, baby
Something I want to say
When you left you took all of me with you
My lord I wonder, do you want to hear me scream?
Please, please, please
Oh please baby
Come back home, little girl
Oh baby please, please"
1114,"Don't go and talk about my father
God is my friend, 
 he is my friend
He made this world for us to live in 

And gave us everything 

And all he asks of us 
 is we give each other love, oh yeah


Don't go and talk about my father
Because God is my friend, 
 he is my friend
He loves us whether or not we know it 

And He'll forgive all our sins, 
 forgive all our sins
And all He asks of us, oh yeah, is we give each other love, oh yeah


Love your mother, she bore you
Love your father, he works for you
Love your sister, she's good to you
Love your brother, love your brother


Don't go and talk about my father, He's good to us
God is my friend, 
 he is my friend
And when we call on Him for mercy, mercy Father
He'll be merciful, my friend, oh, yes He will
All he asks of us, I know-"
